ODISHA ,NUAPADA ,No,7,7,0,Not provided,No,Not provided,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,0,0,0,0
ODISHA ,JHARSUGUDA,No,6,2,Not provided,Not Responded,No,No,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
ODISHA ,GAJAPATI ,No,4,4,1,6,No,No,Not Responded,16,Not Responded,8,Not Responded,5,3,Yes,Not provided,Not Responded,Not Responded,Not provided
ODISHA ,NAYAGARH ,No,8,5,4,6,Yes,No,Not Responded,6,Not Responded,Not Responded,Not Responded,3,3,Yes,Not provided,Not Responded,Not Responded,Not provided
ODISHA ,ANGUL,No,6,6,Not provided,12,Not provided,No,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,0
ODISHA ,GANJAM ,No,24,14,Not provided,1,No,No,0,4,0,4,0,0,0,Yes,0,0,Not provided,0
ODISHA ,KANDHAMAL,Yes,8,13,2,6,No,Yes,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not provided,Not provided,Not provided
ODISHA ,KHURDA ,No,10,5,3,6,Yes,No,0,0,0,11,0,Not Responded,Not Responded,Yes,0,0,Not Responded,Not provided
MAHARASTRA ,LATUR ,Yes,25,25,17,12,No,Yes,0,23,0,17,0,17,0,Yes,6,6,0,0
MAHARASTRA ,SOLAPUR ,Yes,45,Not provided,Not provided,36,Yes,Not responded,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not provided
MAHARASTRA ,PARBHANI,No,38,32,1,No fixed tenure,No,Yes,Not Responded,26,Not Responded,9,Not Responded,8,Not Responded,Yes,2,26,0,0
MAHARASTRA ,JALNA ,No,20,19,19,No fixed tenure,Yes,Yes,Not Responded,47,Not Responded,40,Not Responded,39,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
MAHARASTRA ,CHANDRAPUR ,No,26,26,16,No fixed tenure,Yes,Yes,Not Responded,2,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,Not provided,Not provided,0,0
MAHARASTRA ,THANE ,No,78,36,Not provided,Not provided,Yes,No,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,Not Responded,Not Responded,Not Responded,Not provided
MAHARASTRA ,GADCHIROLI ,No,10,10,9,1,Yes,Yes,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not provided,Not provided,Not provided,Not provided
MAHARASTRA ,JALGAON ,Yes,39,39,62,12,Yes,No,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,0,Not Responded,Not Responded,Not provided
CHANDIGARH ,CHANDIGARH ,No,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,0
PONDICHERRY ,PONDICHERRY ,Not Responded,8,8,8,12,Yes,No,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,0,0,Not Responded,0
ANDRHA PRADESH ,VISAKHAPATNAM ,No,19,19,19,36,Yes,No,Not Responded,253,Not Responded,Not Responded,Not provided,Not Responded,79,No,0,Not Responded,Not Responded,Not provided
